"","date","hits","keyword","geo","gprop","category","hits_backup","datetime"
"84",2016-03-24 00:30:00,66,"BTC","world","web",0,66,2016-03-23
"85",2016-03-25 00:30:00,79,"BTC","world","web",0,79,2016-03-24
"86",2016-03-26 00:30:00,79,"BTC","world","web",0,79,2016-03-25
"87",2016-03-27 00:30:00,66,"BTC","world","web",0,66,2016-03-26
"88",2016-03-28 00:30:00,82,"BTC","world","web",0,82,2016-03-27
"89",2016-03-29 00:30:00,81,"BTC","world","web",0,81,2016-03-28
"90",2016-03-30 00:30:00,82,"BTC","world","web",0,82,2016-03-29
"91",2016-03-31 00:30:00,80,"BTC","world","web",0,28,2016-03-30
"92",2016-04-01 00:30:00,100,"BTC","world","web",0,35,2016-03-31
"93",2016-04-02 00:30:00,77.1428571428571,"BTC","world","web",0,27,2016-04-01
"94",2016-04-03 00:30:00,82.8571428571429,"BTC","world","web",0,29,2016-04-02
"95",2016-04-04 00:30:00,82.8571428571429,"BTC","world","web",0,29,2016-04-03
"96",2016-04-05 00:30:00,88.5714285714286,"BTC","world","web",0,31,2016-04-04
"97",2016-04-06 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-04-05
"98",2016-04-07 00:30:00,85.7142857142857,"BTC","world","web",0,30,2016-04-06
"99",2016-04-08 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-04-07
"100",2016-04-09 00:30:00,91.4285714285714,"BTC","world","web",0,32,2016-04-08
"101",2016-04-10 00:30:00,91.4285714285714,"BTC","world","web",0,32,2016-04-09
"102",2016-04-11 00:30:00,97.1428571428571,"BTC","world","web",0,34,2016-04-10
"103",2016-04-12 00:30:00,97.1428571428571,"BTC","world","web",0,34,2016-04-11
"104",2016-04-13 00:30:00,97.1428571428571,"BTC","world","web",0,34,2016-04-12
"105",2016-04-14 00:30:00,111.428571428571,"BTC","world","web",0,39,2016-04-13
"106",2016-04-15 00:30:00,102.857142857143,"BTC","world","web",0,36,2016-04-14
"107",2016-04-16 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-04-15
"108",2016-04-17 00:30:00,74.2857142857143,"BTC","world","web",0,26,2016-04-16
"109",2016-04-18 00:30:00,91.4285714285714,"BTC","world","web",0,32,2016-04-17
"110",2016-04-19 00:30:00,85.7142857142857,"BTC","world","web",0,30,2016-04-18
"111",2016-04-20 00:30:00,88.5714285714286,"BTC","world","web",0,31,2016-04-19
"112",2016-04-21 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-04-20
"113",2016-04-22 00:30:00,97.1428571428571,"BTC","world","web",0,34,2016-04-21
"114",2016-04-23 00:30:00,91.4285714285714,"BTC","world","web",0,32,2016-04-22
"115",2016-04-24 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-04-23
"116",2016-04-25 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-04-24
"117",2016-04-26 00:30:00,122.857142857143,"BTC","world","web",0,43,2016-04-25
"118",2016-04-27 00:30:00,117.142857142857,"BTC","world","web",0,41,2016-04-26
"119",2016-04-28 00:30:00,111.428571428571,"BTC","world","web",0,39,2016-04-27
"120",2016-04-29 00:30:00,85.7142857142857,"BTC","world","web",0,30,2016-04-28
"121",2016-04-30 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-04-29
"122",2016-05-01 00:30:00,88.5714285714286,"BTC","world","web",0,31,2016-04-30
"123",2016-05-02 00:30:00,114.285714285714,"BTC","world","web",0,40,2016-05-01
"124",2016-05-03 00:30:00,111.428571428571,"BTC","world","web",0,39,2016-05-02
"125",2016-05-04 00:30:00,100,"BTC","world","web",0,35,2016-05-03
"126",2016-05-05 00:30:00,105.714285714286,"BTC","world","web",0,37,2016-05-04
"127",2016-05-06 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-05-05
"128",2016-05-07 00:30:00,85.7142857142857,"BTC","world","web",0,30,2016-05-06
"129",2016-05-08 00:30:00,88.5714285714286,"BTC","world","web",0,31,2016-05-07
"130",2016-05-09 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-05-08
"131",2016-05-10 00:30:00,105.714285714286,"BTC","world","web",0,37,2016-05-09
"132",2016-05-11 00:30:00,94.2857142857143,"BTC","world","web",0,33,2016-05-10
"133",2016-05-12 00:30:00,100,"BTC","world","web",0,35,2016-05-11
"134",2016-05-13 00:30:00,100,"BTC","world","web",0,35,2016-05-12
